type,year,unit,age,n,mean,sd,lower95,lower50,median,upper50,upper95,rhat,ess_bulk,ess_tail,mcse_mean,quantity,units,mode,mode_sd,mode_lower_2se,mode_upper_2se,median_minus_mode_percent,diagnostic_flag
Recruits,1970,1,age_1,3000,5304.67030966667,2271.06873225823,2047.799,3688.03,4933.5,6477.615,10954.4875,1.00404136577603,1102.88317279461,1971.88273170428,69.1195210609023,Recruitment at age 1,million fish,5071.95,2198.05,2212.21,11628.5,-2.72971933871587,FALSE
Recruits,1971,1,age_1,3000,6647.89016,2610.48223071361,2816.04825,4744.4075,6231.05,8051.6725,12558.0575,1.00500993200972,991.708858351652,1284.12125181254,84.1636736789059,Recruitment at age 1,million fish,6513.37,2495.76,3106.82,13655.1,-4.334468946183,FALSE
Recruits,1972,1,age_1,3000,8446.12458,3014.66593667509,3899.80475,6242.9975,7964.535,10083.875,15548.465,1.00711752056034,676.66409759783,1121.86380152781,113.529438528963,Recruitment at age 1,million fish,8265.37,2825.17,4251.43,16069,-3.63970396969526,FALSE
Recruits,1973,1,age_1,3000,5848.65166,2276.53559411987,2453.9135,4217.28,5454.33,7145.4475,11152.555,1.00539519414856,980.136455860543,1450.1440012728,76.0925927617391,Recruitment at age 1,million fish,5825.54,2246.88,2766.12,12268.8,-6.37211314315926,FALSE
Recruits,1974,1,age_1,3000,4793.83183433333,1699.74004310525,2150.3165,3580.535,4553.875,5748.6475,8619.4205,1.00277840984132,1186.30223625071,1662.49970325416,48.0653190627621,Recruitment at age 1,million fish,4793.76,1687.32,2420.08,9495.61,-5.00410950902841,FALSE
Recruits,1975,1,age_1,3000,8998.79066666667,2164.58783380171,5592.5655,7412.69,8724.14,10272.7,13930.545,1.01232543467116,430.620305986694,1715.90251586283,101.557687545182,Recruitment at age 1,million fish,8973.09,2141.4,5604.28,14366.9,-2.77440658680567,TRUE
Recruits,1976,1,age_1,3000,11985.5762433333,2340.71613482953,8123.558,10322.975,11763.7,13410.975,17114.87,1.00958413537254,480.870155901655,1181.62665031707,106.231388329279,Recruitment at age 1,million fish,12118,2396.39,8190.43,17928.9,-2.92374979369532,FALSE
Recruits,1977,1,age_1,3000,12577.9699833333,2114.99649035336,9031.8445,11028.625,12415.5,13880.525,17282.89,1.00841983578847,576.533400394409,1189.91104418681,87.3886755957233,Recruitment at age 1,million fish,12633.3,2111.55,9064.36,17607.4,-1.72401510294222,FALSE
Recruits,1978,1,age_1,3000,16061.4065566667,2066.83238648499,12469.405,14632.275,15930.95,17380.725,20374.9975,1.00543802261943,681.818712068138,1281.26128422093,79.962643607312,Recruitment at age 1,million fish,16048.2,2076.27,12402.7,20765.2,-0.730611532757564,FALSE
Recruits,1979,1,age_1,3000,16062.3294333333,1875.69800484481,12753.96,14737.025,15943.65,17212.225,20071.9625,1.00274808934588,879.006159356695,1575.5981597405,63.6467283678011,Recruitment at age 1,million fish,15951,1813.1,12716.8,20007.9,-0.0460786157607696,FALSE
Recruits,1980,1,age_1,3000,16106.4981,1836.15912081135,12811.475,14837.875,16001.6,17310.45,19934.8075,1.00267318217362,1281.97202477054,1754.22522043277,52.1237785894825,Recruitment at age 1,million fish,16020.7,1799.42,12806.4,20041.7,-0.119220758144156,FALSE
Recruits,1981,1,age_1,3000,17084.7808666667,1993.33454688348,13658.0125,15643.25,16941.35,18401.55,21339.435,1.00048889849072,1609.02401423286,1510.42945007947,50.5210791662913,Recruitment at age 1,million fish,16856.6,1940.57,13400,21204.9,0.502770428200239,FALSE
Recruits,1982,1,age_1,3000,19220.9387666667,2227.44318162093,15209.625,17650.825,19116.45,20641.9,24018.1625,1.00410032144663,1753.54897579731,2299.42353118569,53.2552324057492,Recruitment at age 1,million fish,18940.1,2231.43,14976.2,23953.2,0.931093288842177,FALSE
Recruits,1983,1,age_1,3000,28031.2517333333,3109.49912550786,22519.0225,25881.425,27884.9,29982.475,34427.42,1.00084569300034,2171.42909266599,2327.07123178421,67.1433135217147,Recruitment at age 1,million fish,27543.4,3026.12,22124.5,34289.5,1.23986145501283,FALSE
Recruits,1984,1,age_1,3000,21844.9873666667,2768.94811088085,16922.765,19902.625,21669.05,23665.275,27735.3825,1.00006632688941,2569.1142835679,1760.35268007875,55.159363809924,Recruitment at age 1,million fish,21564.8,2683.36,16829.8,27631.9,0.483426695355416,FALSE
Recruits,1985,1,age_1,3000,24758.9701,2946.78201260164,19350.525,22698.15,24626.45,26615.575,30787.4475,1.00099269677161,2965.82284412627,1870.75421772404,54.6022266653101,Recruitment at age 1,million fish,24518.8,2877.43,19405,30980.3,0.439050850775735,FALSE
Recruits,1986,1,age_1,3000,57383.9377333333,4423.0148654882,49065.62,54375.75,57173.4,60418.75,65931.1175,1.00110328268524,2203.19232840116,2568.67679184275,94.5815469218789,Recruitment at age 1,million fish,56864.6,4455.53,48628.3,66495.8,0.543044354484157,FALSE
Recruits,1987,1,age_1,3000,56874.9268333333,4606.75242376535,48297.995,53576.05,56841.6,60057,66068.1975,1.00138031443697,1559.25227218265,2243.63224226299,114.380340961172,Recruitment at age 1,million fish,56452,4503.79,48138.5,66201.2,0.690143839013691,FALSE
