year,chain,green_draws,retained_draws,probability_green
2007,1,0,1000,0
2007,2,0,1000,0
2007,3,0,1000,0
2008,1,0,1000,0
2008,2,0,1000,0
2008,3,0,1000,0
2009,1,0,1000,0
2009,2,0,1000,0
2009,3,0,1000,0
2010,1,0,1000,0
2010,2,0,1000,0
2010,3,0,1000,0
2011,1,0,1000,0
2011,2,0,1000,0
2011,3,0,1000,0
2012,1,0,1000,0
2012,2,0,1000,0
2012,3,0,1000,0
2013,1,0,1000,0
2013,2,0,1000,0
2013,3,0,1000,0
2014,1,0,1000,0
2014,2,0,1000,0
2014,3,0,1000,0
2015,1,0,1000,0
2015,2,0,1000,0
2015,3,0,1000,0
2016,1,0,1000,0
2016,2,0,1000,0
2016,3,0,1000,0
2017,1,0,1000,0
2017,2,0,1000,0
2017,3,0,1000,0
2018,1,0,1000,0
2018,2,0,1000,0
2018,3,0,1000,0
2019,1,2,1000,0.002
2019,2,2,1000,0.002
2019,3,3,1000,0.003
2020,1,135,1000,0.135
2020,2,123,1000,0.123
2020,3,130,1000,0.13
2021,1,299,1000,0.299
2021,2,313,1000,0.313
2021,3,323,1000,0.323
2022,1,396,1000,0.396
2022,2,393,1000,0.393
2022,3,437,1000,0.437
2023,1,326,1000,0.326
2023,2,342,1000,0.342
2023,3,346,1000,0.346
2024,1,190,1000,0.19
2024,2,192,1000,0.192
2024,3,171,1000,0.171
2025,1,118,1000,0.118
2025,2,117,1000,0.117
2025,3,85,1000,0.085
2026,1,278,1000,0.278
2026,2,298,1000,0.298
2026,3,261,1000,0.261
