year,green_draws,retained_draws,probability_green,chain1_probability,chain2_probability,chain3_probability,indicator_rhat,indicator_ess_mean,probability_mcse,indicator_varies
2007,0,3000,0,0,0,0,NA,NA,NA,FALSE
2008,0,3000,0,0,0,0,NA,NA,NA,FALSE
2009,0,3000,0,0,0,0,NA,NA,NA,FALSE
2010,0,3000,0,0,0,0,NA,NA,NA,FALSE
2011,0,3000,0,0,0,0,NA,NA,NA,FALSE
2012,0,3000,0,0,0,0,NA,NA,NA,FALSE
2013,0,3000,0,0,0,0,NA,NA,NA,FALSE
2014,0,3000,0,0,0,0,NA,NA,NA,FALSE
2015,0,3000,0,0,0,0,NA,NA,NA,FALSE
2016,0,3000,0,0,0,0,NA,NA,NA,FALSE
2017,0,3000,0,0,0,0,NA,NA,NA,FALSE
2018,0,3000,0,0,0,0,NA,NA,NA,FALSE
2019,7,3000,0.00233333333333333,0.002,0.002,0.003,0.999829982679261,3024.61740671251,0.000877441749276374,TRUE
2020,388,3000,0.129333333333333,0.135,0.123,0.13,1.0011886858858,2340.74070680114,0.00693708370632602,TRUE
2021,935,3000,0.311666666666667,0.299,0.313,0.323,1.0003031783008,2673.31611500723,0.00895966589174427,TRUE
2022,1226,3000,0.408666666666667,0.396,0.393,0.437,1.00043942471573,2659.20929814286,0.00953447802823033,TRUE
2023,1014,3000,0.338,0.326,0.342,0.346,1.00125563115365,2505.60962090639,0.00945154998266262,TRUE
2024,553,3000,0.184333333333333,0.19,0.192,0.171,1.00664936892755,1501.8950746434,0.0100071611516461,TRUE
2025,320,3000,0.106666666666667,0.118,0.117,0.085,1.00894932514847,1144.24448178234,0.0091271273993659,TRUE
2026,837,3000,0.279,0.278,0.298,0.261,1.00522948671988,1798.41749285235,0.0105778369740219,TRUE
