year,mode,mode_sd,mode_lower_2se,mode_upper_2se,type
1970,13314.7,2100.74,9730.38,18219.3,SSB
1971,12525.2,1990.82,9132.41,17178.4,SSB
1972,12080.4,1907.18,8826.69,16533.6,SSB
1973,11610.2,1825.79,8493.34,15870.8,SSB
1974,10826.8,1713.82,7904.21,14830.1,SSB
1975,10329.7,1613.07,7572.95,14089.9,SSB
1976,10369.3,1561.77,7685.33,13990.7,SSB
1977,10409.2,1529.82,7770.45,13944.2,SSB
1978,10522.1,1490.25,7937.73,13948,SSB
1979,10660,1446.94,8135.76,13967.5,SSB
1980,10867.9,1399.52,8409.14,14045.6,SSB
1981,10640.9,1345.68,8271.22,13689.5,SSB
1982,9990.72,1281.87,7737.61,12899.9,SSB
1983,10739.4,1208.43,8581.22,13440.2,SSB
1984,10973.2,1160.05,8887.18,13548.8,SSB
1985,11333.5,1092.58,9350.3,13737.5,SSB
1986,14767.5,986.533,12922.5,16876,SSB
1987,19579.8,900.869,17859.4,21466,SSB
1988,21359.8,850.804,19724.9,23130.3,SSB
1989,19905.4,790.39,18386.4,21550,SSB
1990,18135.3,732.241,16728.9,19659.9,SSB
1991,16515.1,675.638,15218.1,17922.6,SSB
1992,15116.5,592.34,13977.5,16348.4,SSB
1993,13328.5,513.981,12339.5,14396.7,SSB
1994,10462.6,426.327,9644.05,11350.5,SSB
1995,7458.54,334.753,6818.51,8158.65,SSB
1996,5263.42,281.664,4729.55,5857.55,SSB
1997,3718.97,244.586,3261.07,4241.17,SSB
1998,3738.47,257.733,3257.49,4290.46,SSB
1999,4826.59,286.117,4287.43,5433.57,SSB
2000,6432.73,305.171,5850.76,7072.59,SSB
2001,6726.27,319.714,6116.62,7396.68,SSB
2002,7235.97,307.647,6646.37,7877.88,SSB
2003,7145.73,298.142,6573.89,7767.32,SSB
2004,6395.26,274.194,5869.96,6967.57,SSB
2005,5986.17,239.146,5526.66,6483.88,SSB
2006,5152.91,197.341,4773.1,5562.94,SSB
2007,3548.01,163.372,3236.02,3890.08,SSB
2008,2375.29,121.612,2144.25,2631.22,SSB
2009,1810.85,82.2153,1653.74,1982.88,SSB
2010,1666.8,75.899,1521.78,1825.63,SSB
2011,1517.09,76.2782,1372.04,1677.47,SSB
2012,1511.73,78.8232,1362.12,1677.77,SSB
2013,1631.18,84.2877,1471.13,1808.65,SSB
2014,1894.46,90.3222,1722.25,2083.88,SSB
2015,2218.78,98.9594,2029.52,2425.68,SSB
2016,2640.34,112.424,2424.9,2874.93,SSB
2017,3333.53,143.374,3058.89,3632.82,SSB
2018,4297.38,209.89,3897.68,4738.07,SSB
2019,5124.74,298.494,4561.66,5757.33,SSB
2020,5640.4,369.722,4948.08,6429.6,SSB
2021,6170.65,440.219,5351.11,7115.71,SSB
2022,6530.22,511.144,5585.27,7635.05,SSB
2023,6345.06,561.949,5316.91,7572.02,SSB
2024,5972.94,622.992,4851.07,7354.26,SSB
2025,6030.68,788.365,4648.36,7824.07,SSB
2026,6108.87,973.716,4450.21,8385.73,SSB
1970,5071.95,2198.05,2212.21,11628.5,Recruits
1971,6513.37,2495.76,3106.82,13655.1,Recruits
1972,8265.37,2825.17,4251.43,16069,Recruits
1973,5825.54,2246.88,2766.12,12268.8,Recruits
