simulation_id,evaluation_draw_id,pooled_draw,chain,retained_iteration,sampler_iteration,selection_seed
draw-001,1,45,1,45,1045,20260910
draw-002,2,129,1,129,1129,20260910
draw-003,3,150,1,150,1150,20260910
draw-004,4,181,1,181,1181,20260910
draw-005,5,210,1,210,1210,20260910
draw-006,6,239,1,239,1239,20260910
draw-007,7,310,1,310,1310,20260910
draw-008,8,351,1,351,1351,20260910
draw-009,9,353,1,353,1353,20260910
draw-010,10,388,1,388,1388,20260910
draw-011,11,390,1,390,1390,20260910
draw-012,12,408,1,408,1408,20260910
draw-013,13,428,1,428,1428,20260910
draw-014,14,476,1,476,1476,20260910
draw-015,15,505,1,505,1505,20260910
draw-016,16,532,1,532,1532,20260910
draw-017,17,533,1,533,1533,20260910
draw-018,18,551,1,551,1551,20260910
draw-019,19,563,1,563,1563,20260910
draw-020,20,585,1,585,1585,20260910
draw-021,21,617,1,617,1617,20260910
draw-022,22,626,1,626,1626,20260910
draw-023,23,631,1,631,1631,20260910
draw-024,24,679,1,679,1679,20260910
draw-025,25,685,1,685,1685,20260910
draw-026,26,771,1,771,1771,20260910
draw-027,27,784,1,784,1784,20260910
draw-028,28,796,1,796,1796,20260910
draw-029,29,808,1,808,1808,20260910
draw-030,30,818,1,818,1818,20260910
draw-031,31,929,1,929,1929,20260910
draw-032,32,974,1,974,1974,20260910
draw-033,33,981,1,981,1981,20260910
draw-034,34,1025,2,25,1025,20260910
draw-035,35,1038,2,38,1038,20260910
draw-036,36,1063,2,63,1063,20260910
draw-037,37,1120,2,120,1120,20260910
draw-038,38,1138,2,138,1138,20260910
draw-039,39,1173,2,173,1173,20260910
draw-040,40,1176,2,176,1176,20260910
draw-041,41,1185,2,185,1185,20260910
draw-042,42,1192,2,192,1192,20260910
draw-043,43,1208,2,208,1208,20260910
draw-044,44,1229,2,229,1229,20260910
draw-045,45,1257,2,257,1257,20260910
draw-046,46,1259,2,259,1259,20260910
draw-047,47,1282,2,282,1282,20260910
draw-048,48,1287,2,287,1287,20260910
draw-049,49,1310,2,310,1310,20260910
draw-050,50,1352,2,352,1352,20260910
draw-051,51,1415,2,415,1415,20260910
draw-052,52,1435,2,435,1435,20260910
draw-053,53,1437,2,437,1437,20260910
draw-054,54,1459,2,459,1459,20260910
draw-055,55,1594,2,594,1594,20260910
draw-056,56,1596,2,596,1596,20260910
draw-057,57,1636,2,636,1636,20260910
draw-058,58,1685,2,685,1685,20260910
draw-059,59,1718,2,718,1718,20260910
draw-060,60,1723,2,723,1723,20260910
draw-061,61,1746,2,746,1746,20260910
draw-062,62,1753,2,753,1753,20260910
draw-063,63,1800,2,800,1800,20260910
draw-064,64,1877,2,877,1877,20260910
draw-065,65,1888,2,888,1888,20260910
draw-066,66,1956,2,956,1956,20260910
draw-067,67,2013,3,13,1013,20260910
draw-068,68,2045,3,45,1045,20260910
draw-069,69,2082,3,82,1082,20260910
draw-070,70,2108,3,108,1108,20260910
draw-071,71,2113,3,113,1113,20260910
draw-072,72,2132,3,132,1132,20260910
draw-073,73,2173,3,173,1173,20260910
draw-074,74,2221,3,221,1221,20260910
draw-075,75,2262,3,262,1262,20260910
draw-076,76,2287,3,287,1287,20260910
draw-077,77,2325,3,325,1325,20260910
draw-078,78,2329,3,329,1329,20260910
draw-079,79,2397,3,397,1397,20260910
draw-080,80,2505,3,505,1505,20260910
draw-081,81,2508,3,508,1508,20260910
draw-082,82,2512,3,512,1512,20260910
draw-083,83,2540,3,540,1540,20260910
draw-084,84,2609,3,609,1609,20260910
draw-085,85,2612,3,612,1612,20260910
draw-086,86,2630,3,630,1630,20260910
draw-087,87,2645,3,645,1645,20260910
draw-088,88,2657,3,657,1657,20260910
draw-089,89,2659,3,659,1659,20260910
draw-090,90,2662,3,662,1662,20260910
draw-091,91,2793,3,793,1793,20260910
draw-092,92,2819,3,819,1819,20260910
draw-093,93,2856,3,856,1856,20260910
draw-094,94,2885,3,885,1885,20260910
draw-095,95,2908,3,908,1908,20260910
draw-096,96,2913,3,913,1913,20260910
draw-097,97,2924,3,924,1924,20260910
draw-098,98,2947,3,947,1947,20260910
draw-099,99,2959,3,959,1959,20260910
draw-100,100,2960,3,960,1960,20260910
