mp,advice_stock,iter,year,advice,application_year,previous_advice,previous_year,exclusion,reduction,flag
tun29,CJM,1,2025,1177.25,2026,,,no_previous_advice,,
tun29,CJM,1,2026,1119.51939707732,2027,1177.25,2025,none,0.0490385244618191,0
tun29,CJM,1,2027,1159.13808885023,2028,1119.51939707732,2026,none,-0.0353890177127223,0
tun29,CJM,1,2028,1259.78682146692,2029,1159.13808885023,2027,none,-0.0868306663242535,0
tun29,CJM,1,2029,1511.7441857603,2030,1259.78682146692,2028,none,-0.2,0
tun29,CJM,1,2030,1814.09302291236,2031,1511.7441857603,2029,none,-0.2,0
tun29,CJM,1,2031,2000,2032,1814.09302291236,2030,none,-0.102479296673103,0
tun29,CJM,1,2032,1907.87878700305,2033,2000,2031,none,0.0460606064984753,0
tun29,CJM,1,2033,1621.69696895259,2034,1907.87878700305,2032,none,0.15,0
tun29,CJM,1,2034,1378.4424236097,2035,1621.69696895259,2033,none,0.15,0
tun29,CJM,1,2035,1171.67606006825,2036,1378.4424236097,2034,none,0.15,0
tun29,CJM,1,2036,995.92465105801,2037,1171.67606006825,2035,none,0.15,0
tun29,CJM,1,2037,1187.92413656546,2038,995.92465105801,2036,none,-0.192785152273803,0
tun29,CJM,1,2038,1425.50896387856,2039,1187.92413656546,2037,none,-0.2,0
tun29,CJM,1,2039,1710.61075665427,2040,1425.50896387856,2038,none,-0.2,0
tun29,CJM,1,2040,2000,2041,1710.61075665427,2039,none,-0.169173052501868,0
tun29,CJM,1,2041,2000,2042,2000,2040,none,0,0
tun29,CJM,1,2042,2000,2043,2000,2041,none,0,0
tun29,CJM,1,2043,2000,2044,2000,2042,none,0,0
tun29,CJM,1,2044,2000,2045,2000,2043,none,0,0
tun29,CJM,1,2045,2000,2046,2000,2044,none,0,0
tun29,CJM,1,2046,2000,2047,2000,2045,none,0,0
tun29,CJM,1,2047,2000,2048,2000,2046,none,0,0
tun29,CJM,1,2048,2000,2049,2000,2047,none,0,0
tun29,CJM,1,2049,2000,2050,2000,2048,none,0,0
tun29,CJM,2,2025,1177.25,2026,,,no_previous_advice,,
tun29,CJM,2,2026,1119.51901995687,2027,1177.25,2025,none,0.0490388448019806,0
tun29,CJM,2,2027,1277.07863350004,2028,1119.51901995687,2026,none,-0.140738666100769,0
tun29,CJM,2,2028,1532.49436020005,2029,1277.07863350004,2027,none,-0.2,0
tun29,CJM,2,2029,1745.74446564575,2030,1532.49436020005,2028,none,-0.139152293792367,0
tun29,CJM,2,2030,1661.53662583618,2031,1745.74446564575,2029,none,0.0482360628755697,0
tun29,CJM,2,2031,1921.95853337819,2032,1661.53662583618,2030,none,-0.156735580481679,0
tun29,CJM,2,2032,2000,2033,1921.95853337819,2031,none,-0.0406051770974691,0
tun29,CJM,2,2033,2000,2034,2000,2032,none,0,0
tun29,CJM,2,2034,2000,2035,2000,2033,none,0,0
tun29,CJM,2,2035,2000,2036,2000,2034,none,0,0
tun29,CJM,2,2036,2000,2037,2000,2035,none,0,0
tun29,CJM,2,2037,2000,2038,2000,2036,none,0,0
tun29,CJM,2,2038,2000,2039,2000,2037,none,0,0
tun29,CJM,2,2039,2000,2040,2000,2038,none,0,0
tun29,CJM,2,2040,2000,2041,2000,2039,none,0,0
tun29,CJM,2,2041,2000,2042,2000,2040,none,0,0
tun29,CJM,2,2042,2000,2043,2000,2041,none,0,0
tun29,CJM,2,2043,2000,2044,2000,2042,none,0,0
tun29,CJM,2,2044,2000,2045,2000,2043,none,0,0
tun29,CJM,2,2045,2000,2046,2000,2044,none,0,0
tun29,CJM,2,2046,2000,2047,2000,2045,none,0,0
tun29,CJM,2,2047,2000,2048,2000,2046,none,0,0
tun29,CJM,2,2048,2000,2049,2000,2047,none,0,0
tun29,CJM,2,2049,2000,2050,2000,2048,none,0,0
tun29,CJM,3,2025,1177.25,2026,,,no_previous_advice,,
tun29,CJM,3,2026,1119.52021272886,2027,1177.25,2025,none,0.0490378316170206,0
tun29,CJM,3,2027,1267.88521791341,2028,1119.52021272886,2026,none,-0.132525526111672,0
tun29,CJM,3,2028,1331.87727353896,2029,1267.88521791341,2027,none,-0.0504714896281158,0
tun29,CJM,3,2029,1598.25272824676,2030,1331.87727353896,2028,none,-0.2,0
tun29,CJM,3,2030,1855.63606046745,2031,1598.25272824676,2029,none,-0.161040446026981,0
tun29,CJM,3,2031,1969.57510521045,2032,1855.63606046745,2030,none,-0.061401611647002,0
tun29,CJM,3,2032,1693.90531624741,2033,1969.57510521045,2031,none,0.139964090850745,0
tun29,CJM,3,2033,1805.35871507776,2034,1693.90531624741,2032,none,-0.0657967111628512,0
tun29,CJM,3,2034,1830.07901977933,2035,1805.35871507776,2033,none,-0.0136927384542027,0
tun29,CJM,3,2035,1555.56716681243,2036,1830.07901977933,2034,none,0.15,0
tun29,CJM,3,2036,1322.23209179057,2037,1555.56716681243,2035,none,0.15,0
tun29,CJM,3,2037,1123.89727802198,2038,1322.23209179057,2036,none,0.15,0
tun29,CJM,3,2038,955.312686318685,2039,1123.89727802198,2037,none,0.15,0
tun29,CJM,3,2039,812.015783370883,2040,955.312686318685,2038,none,0.15,0
tun29,CJM,3,2040,690.21341586525,2041,812.015783370883,2039,none,0.15,0
tun29,CJM,3,2041,586.681403485463,2042,690.21341586525,2040,none,0.15,0
tun29,CJM,3,2042,498.679192962643,2043,586.681403485463,2041,none,0.15,0
tun29,CJM,3,2043,423.877314018247,2044,498.679192962643,2042,none,0.15,0
tun29,CJM,3,2044,360.29571691551,2045,423.877314018247,2043,none,0.15,0
tun29,CJM,3,2045,306.251359378183,2046,360.29571691551,2044,none,0.15,0
tun29,CJM,3,2046,270,2047,306.251359378183,2045,none,0.118371260299998,0
tun29,CJM,3,2047,270,2048,270,2046,none,0,0
tun29,CJM,3,2048,270,2049,270,2047,none,0,0
tun29,CJM,3,2049,270,2050,270,2048,none,0,0
tun29,CJM,4,2025,1177.25,2026,,,no_previous_advice,,
tun29,CJM,4,2026,1119.51923215429,2027,1177.25,2025,none,0.0490386645535872,0
tun29,CJM,4,2027,1156.90873449601,2028,1119.51923215429,2026,none,-0.0333978204820715,0
tun29,CJM,4,2028,1204.97669748741,2029,1156.90873449601,2027,none,-0.0415486213891794,0
tun29,CJM,4,2029,1445.9720369849,2030,1204.97669748741,2028,none,-0.2,0
tun29,CJM,4,2030,1735.16644438188,2031,1445.9720369849,2029,none,-0.2,0
tun29,CJM,4,2031,2000,2032,1735.16644438188,2030,none,-0.152627176761977,0
tun29,CJM,4,2032,1727.55158327264,2033,2000,2031,none,0.136224208363678,0
tun29,CJM,4,2033,1681.10382899409,2034,1727.55158327264,2032,none,0.0268864644785665,0
tun29,CJM,4,2034,1847.1107039664,2035,1681.10382899409,2033,none,-0.0987487340812498,0
tun29,CJM,4,2035,1749.94593312709,2036,1847.1107039664,2034,none,0.0526036531706863,0
tun29,CJM,4,2036,1610.90468482849,2037,1749.94593312709,2035,none,0.0794545966629588,0
tun29,CJM,4,2037,1574.10855769361,2038,1610.90468482849,2036,none,0.0228419021196172,0
tun29,CJM,4,2038,1804.16523536168,2039,1574.10855769361,2037,none,-0.146150452294824,0
tun29,CJM,4,2039,1978.99992494952,2040,1804.16523536168,2038,none,-0.0969061403917295,0
tun29,CJM,4,2040,2000,2041,1978.99992494952,2039,none,-0.0106114582349051,0
tun29,CJM,4,2041,2000,2042,2000,2040,none,0,0
tun29,CJM,4,2042,2000,2043,2000,2041,none,0,0
tun29,CJM,4,2043,2000,2044,2000,2042,none,0,0
tun29,CJM,4,2044,2000,2045,2000,2043,none,0,0
tun29,CJM,4,2045,2000,2046,2000,2044,none,0,0
tun29,CJM,4,2046,2000,2047,2000,2045,none,0,0
tun29,CJM,4,2047,2000,2048,2000,2046,none,0,0
