om_code,mp,events,valid_comparisons,available_records,iterations,first_advice_year,last_advice_year,first_comparison_year,last_comparison_year,advice_stock,raw_value
om11,tun29,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11,tun43,761,12500,12500,500,2025,2049,2025,2049,CJM,0.06088
om11,tun45,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11,tun47,577,12500,12500,500,2025,2049,2025,2049,CJM,0.04616
om11,tun32,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11,tun44,2575,12500,12500,500,2025,2049,2025,2049,CJM,0.206
om11,tun46,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11,tun48,2092,12500,12500,500,2025,2049,2025,2049,CJM,0.16736
om11,fixedcatch,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11_1,tun29,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11_1,tun43,1165,12500,12500,500,2025,2049,2025,2049,CJM,0.0932
om11_1,tun45,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11_1,tun47,816,12500,12500,500,2025,2049,2025,2049,CJM,0.06528
om11_1,tun32,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11_1,tun44,2796,12500,12500,500,2025,2049,2025,2049,CJM,0.22368
om11_1,tun46,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11_1,tun48,2291,12500,12500,500,2025,2049,2025,2049,CJM,0.18328
om11_2,tun29,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11_2,tun43,977,12500,12500,500,2025,2049,2025,2049,CJM,0.07816
om11_2,tun45,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11_2,tun47,702,12500,12500,500,2025,2049,2025,2049,CJM,0.05616
om11_2,tun32,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11_2,tun44,2947,12500,12500,500,2025,2049,2025,2049,CJM,0.23576
om11_2,tun46,0,12500,12500,500,2025,2049,2025,2049,CJM,0
om11_2,tun48,2373,12500,12500,500,2025,2049,2025,2049,CJM,0.18984
