year,iter,data,metric
2025,37,8593.12324912998,SSB (thousand t)
2026,37,9102.28554039775,SSB (thousand t)
2027,37,9358.31893570148,SSB (thousand t)
2028,37,10562.9635223079,SSB (thousand t)
2029,37,12230.0349097396,SSB (thousand t)
2030,37,13327.5587988102,SSB (thousand t)
2031,37,13361.5257327344,SSB (thousand t)
2032,37,12529.0206809381,SSB (thousand t)
2033,37,11492.1370481232,SSB (thousand t)
2034,37,11454.0166680252,SSB (thousand t)
2035,37,11080.415600489,SSB (thousand t)
2036,37,10735.7645541701,SSB (thousand t)
2037,37,12108.6391177804,SSB (thousand t)
2038,37,13534.5039599415,SSB (thousand t)
2039,37,14313.6819719471,SSB (thousand t)
2040,37,15136.3668733017,SSB (thousand t)
2041,37,16712.2659775052,SSB (thousand t)
2042,37,18934.665283172,SSB (thousand t)
2043,37,20645.7416364767,SSB (thousand t)
2044,37,21152.7062946197,SSB (thousand t)
2045,37,20761.7589233278,SSB (thousand t)
2046,37,19849.0520737564,SSB (thousand t)
2047,37,18802.8192619282,SSB (thousand t)
2048,37,17649.9422145331,SSB (thousand t)
2049,37,17133.152280354,SSB (thousand t)
2050,37,16847.4671118457,SSB (thousand t)
2025,65,7734.49472637435,SSB (thousand t)
2026,65,7934.90010487945,SSB (thousand t)
2027,65,7420.25726669396,SSB (thousand t)
2028,65,7515.48988596293,SSB (thousand t)
2029,65,8162.36230738996,SSB (thousand t)
2030,65,10090.0180595076,SSB (thousand t)
2031,65,12826.4994441799,SSB (thousand t)
2032,65,14678.9807174197,SSB (thousand t)
2033,65,14821.9081324287,SSB (thousand t)
2034,65,14986.0388478573,SSB (thousand t)
2035,65,15682.5677512575,SSB (thousand t)
2036,65,16108.2911885959,SSB (thousand t)
2037,65,15380.6432813589,SSB (thousand t)
2038,65,14366.9931145636,SSB (thousand t)
2039,65,13672.626090304,SSB (thousand t)
2040,65,13249.164933134,SSB (thousand t)
2041,65,13246.5467748091,SSB (thousand t)
2042,65,14198.721553115,SSB (thousand t)
2043,65,15355.8645435651,SSB (thousand t)
2044,65,15848.036365894,SSB (thousand t)
2045,65,16472.2892017307,SSB (thousand t)
2046,65,16686.0762655724,SSB (thousand t)
2047,65,16121.0976135117,SSB (thousand t)
2048,65,15626.3076486856,SSB (thousand t)
2049,65,15611.5493649361,SSB (thousand t)
2050,65,15663.3124590077,SSB (thousand t)
2025,110,9634.882166157,SSB (thousand t)
2026,110,10681.5121913985,SSB (thousand t)
2027,110,10584.4439115033,SSB (thousand t)
2028,110,10617.3536794617,SSB (thousand t)
2029,110,10394.1397366884,SSB (thousand t)
2030,110,9926.55334815155,SSB (thousand t)
2031,110,10353.6697564591,SSB (thousand t)
2032,110,11063.475498171,SSB (thousand t)
2033,110,11581.9124689114,SSB (thousand t)
2034,110,12731.3173600314,SSB (thousand t)
