mp,statistic,metric,raw_value,preferred_direction,include,weight,years,summary,om_code,om_label,component,n_iter
HS+20 (MP29),SBMSY,SB / SB[MSY],1.51678317188188,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS-20 (MP43),SBMSY,SB / SB[MSY],1.47262518182246,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HSsym (MP45),SBMSY,SB / SB[MSY],1.49020376631955,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS-30 (MP47),SBMSY,SB / SB[MSY],1.49237307485411,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR+20 (MP32),SBMSY,SB / SB[MSY],1.45313761182676,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR-20 (MP44),SBMSY,SB / SB[MSY],1.47147369503474,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PRsym (MP46),SBMSY,SB / SB[MSY],1.4629970092257,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR-30 (MP48),SBMSY,SB / SB[MSY],1.45060361138065,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS+20 (MP29),FMSY,F / F[MSY],0.852995166476652,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS-20 (MP43),FMSY,F / F[MSY],0.899896924605787,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HSsym (MP45),FMSY,F / F[MSY],0.864687974210474,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS-30 (MP47),FMSY,F / F[MSY],0.885917457677776,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR+20 (MP32),FMSY,F / F[MSY],0.899905410986797,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR-20 (MP44),FMSY,F / F[MSY],0.902072836237866,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PRsym (MP46),FMSY,F / F[MSY],0.895171012584641,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR-30 (MP48),FMSY,F / F[MSY],0.886511060324188,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS+20 (MP29),C,Catch,1894.66571853511,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS-20 (MP43),C,Catch,1904.77982369591,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HSsym (MP45),C,Catch,1902.54937963254,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS-30 (MP47),C,Catch,1904.41501969218,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR+20 (MP32),C,Catch,1898.80508827676,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR-20 (MP44),C,Catch,1963.72768570653,higher is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
