code,year,iter,metric,data,CMP,Metric
tun43,2025,37,SB,8593.12324912998,HS-20,Spawning biomass (thousand t)
tun43,2026,37,SB,8857.91276830116,HS-20,Spawning biomass (thousand t)
tun43,2027,37,SB,9494.22232918236,HS-20,Spawning biomass (thousand t)
tun43,2028,37,SB,12858.3487940833,HS-20,Spawning biomass (thousand t)
tun43,2029,37,SB,15797.0245215317,HS-20,Spawning biomass (thousand t)
tun43,2030,37,SB,17038.2974421009,HS-20,Spawning biomass (thousand t)
tun43,2031,37,SB,19242.0747360957,HS-20,Spawning biomass (thousand t)
tun43,2032,37,SB,20971.2745477269,HS-20,Spawning biomass (thousand t)
tun43,2033,37,SB,21966.5675545519,HS-20,Spawning biomass (thousand t)
tun43,2034,37,SB,23051.3269526895,HS-20,Spawning biomass (thousand t)
tun43,2035,37,SB,22950.0386028712,HS-20,Spawning biomass (thousand t)
tun43,2036,37,SB,24612.0175113474,HS-20,Spawning biomass (thousand t)
tun43,2037,37,SB,26441.7404701195,HS-20,Spawning biomass (thousand t)
tun43,2038,37,SB,27061.8578421052,HS-20,Spawning biomass (thousand t)
tun43,2039,37,SB,26562.2987252872,HS-20,Spawning biomass (thousand t)
tun43,2040,37,SB,25969.0058423243,HS-20,Spawning biomass (thousand t)
tun43,2041,37,SB,26480.7366765527,HS-20,Spawning biomass (thousand t)
tun43,2042,37,SB,27777.6147440224,HS-20,Spawning biomass (thousand t)
tun43,2043,37,SB,29522.2860575485,HS-20,Spawning biomass (thousand t)
tun43,2044,37,SB,31849.8759222228,HS-20,Spawning biomass (thousand t)
tun43,2045,37,SB,33195.1041878111,HS-20,Spawning biomass (thousand t)
tun43,2046,37,SB,32302.6355372115,HS-20,Spawning biomass (thousand t)
tun43,2047,37,SB,30843.411037982,HS-20,Spawning biomass (thousand t)
tun43,2048,37,SB,30006.5303010356,HS-20,Spawning biomass (thousand t)
tun43,2049,37,SB,33152.2946884559,HS-20,Spawning biomass (thousand t)
tun43,2050,37,SB,36608.3362837466,HS-20,Spawning biomass (thousand t)
tun43,2025,65,SB,7734.49472637435,HS-20,Spawning biomass (thousand t)
tun43,2026,65,SB,7607.73012640152,HS-20,Spawning biomass (thousand t)
tun43,2027,65,SB,7309.85856212677,HS-20,Spawning biomass (thousand t)
tun43,2028,65,SB,7345.91222104189,HS-20,Spawning biomass (thousand t)
tun43,2029,65,SB,6997.2667894739,HS-20,Spawning biomass (thousand t)
tun43,2030,65,SB,6375.79514437506,HS-20,Spawning biomass (thousand t)
tun43,2031,65,SB,5368.18516244468,HS-20,Spawning biomass (thousand t)
tun43,2032,65,SB,4322.3901769514,HS-20,Spawning biomass (thousand t)
tun43,2033,65,SB,3081.33078447917,HS-20,Spawning biomass (thousand t)
tun43,2034,65,SB,3086.70260854462,HS-20,Spawning biomass (thousand t)
tun43,2035,65,SB,3315.88446239139,HS-20,Spawning biomass (thousand t)
tun43,2036,65,SB,3514.29346119722,HS-20,Spawning biomass (thousand t)
tun43,2037,65,SB,4158.23716085845,HS-20,Spawning biomass (thousand t)
tun43,2038,65,SB,5182.56267522653,HS-20,Spawning biomass (thousand t)
tun43,2039,65,SB,7573.49567146762,HS-20,Spawning biomass (thousand t)
tun43,2040,65,SB,10184.2946655329,HS-20,Spawning biomass (thousand t)
tun43,2041,65,SB,11630.1193482687,HS-20,Spawning biomass (thousand t)
tun43,2042,65,SB,12267.0037071267,HS-20,Spawning biomass (thousand t)
tun43,2043,65,SB,12997.0358526799,HS-20,Spawning biomass (thousand t)
tun43,2044,65,SB,14034.4248656444,HS-20,Spawning biomass (thousand t)
tun43,2045,65,SB,14355.0927598729,HS-20,Spawning biomass (thousand t)
tun43,2046,65,SB,13409.1128221226,HS-20,Spawning biomass (thousand t)
tun43,2047,65,SB,12285.0294802368,HS-20,Spawning biomass (thousand t)
tun43,2048,65,SB,13570.8782782194,HS-20,Spawning biomass (thousand t)
tun43,2049,65,SB,14485.9228797329,HS-20,Spawning biomass (thousand t)
tun43,2050,65,SB,14376.8472432585,HS-20,Spawning biomass (thousand t)
tun43,2025,110,SB,9634.882166157,HS-20,Spawning biomass (thousand t)
tun43,2026,110,SB,10489.5072285551,HS-20,Spawning biomass (thousand t)
tun43,2027,110,SB,10320.711980037,HS-20,Spawning biomass (thousand t)
tun43,2028,110,SB,9931.39499790405,HS-20,Spawning biomass (thousand t)
tun43,2029,110,SB,9167.73422366192,HS-20,Spawning biomass (thousand t)
tun43,2030,110,SB,8093.41447021991,HS-20,Spawning biomass (thousand t)
tun43,2031,110,SB,6786.96002071809,HS-20,Spawning biomass (thousand t)
tun43,2032,110,SB,5750.14676087598,HS-20,Spawning biomass (thousand t)
tun43,2033,110,SB,4705.3084869378,HS-20,Spawning biomass (thousand t)
tun43,2034,110,SB,4174.77468725051,HS-20,Spawning biomass (thousand t)
tun43,2035,110,SB,4038.86884171914,HS-20,Spawning biomass (thousand t)
tun43,2036,110,SB,4245.019760582,HS-20,Spawning biomass (thousand t)
tun43,2037,110,SB,4758.14077422077,HS-20,Spawning biomass (thousand t)
