year,iter,data,scenario,biol,code,metric
2025,37,8593.12324912998,om11_2,CJM,tun29,SB
2026,37,9939.51913741247,om11_2,CJM,tun29,SB
2027,37,10982.6361892558,om11_2,CJM,tun29,SB
2028,37,10806.9129923181,om11_2,CJM,tun29,SB
2029,37,9857.71380840958,om11_2,CJM,tun29,SB
2030,37,8861.99677614115,om11_2,CJM,tun29,SB
2031,37,7854.49944999513,om11_2,CJM,tun29,SB
2032,37,6655.56313501063,om11_2,CJM,tun29,SB
2033,37,6246.33601080768,om11_2,CJM,tun29,SB
2034,37,6256.27551006892,om11_2,CJM,tun29,SB
2035,37,5182.950903111,om11_2,CJM,tun29,SB
2036,37,4835.94900918295,om11_2,CJM,tun29,SB
2037,37,4935.25785477118,om11_2,CJM,tun29,SB
2038,37,5356.98163432261,om11_2,CJM,tun29,SB
2039,37,7442.66971155552,om11_2,CJM,tun29,SB
2040,37,11365.3395031421,om11_2,CJM,tun29,SB
2041,37,13951.2691277558,om11_2,CJM,tun29,SB
2042,37,14346.1921164657,om11_2,CJM,tun29,SB
2043,37,14597.1917346679,om11_2,CJM,tun29,SB
2044,37,14966.5514546997,om11_2,CJM,tun29,SB
2045,37,14877.3525475636,om11_2,CJM,tun29,SB
2046,37,14889.9231397624,om11_2,CJM,tun29,SB
2047,37,14904.8661196814,om11_2,CJM,tun29,SB
2048,37,14014.2166659635,om11_2,CJM,tun29,SB
2049,37,12836.5939363541,om11_2,CJM,tun29,SB
2050,37,12831.2257353288,om11_2,CJM,tun29,SB
2025,65,7734.49472637435,om11_2,CJM,tun29,SB
2026,65,9015.71618521038,om11_2,CJM,tun29,SB
2027,65,10439.8598856349,om11_2,CJM,tun29,SB
2028,65,11139.0869202063,om11_2,CJM,tun29,SB
2029,65,11162.9179092724,om11_2,CJM,tun29,SB
2030,65,11461.9318563334,om11_2,CJM,tun29,SB
2031,65,12309.119132248,om11_2,CJM,tun29,SB
2032,65,14223.5173424883,om11_2,CJM,tun29,SB
2033,65,16066.2539479753,om11_2,CJM,tun29,SB
2034,65,16470.183136481,om11_2,CJM,tun29,SB
2035,65,14569.2918580604,om11_2,CJM,tun29,SB
2036,65,13553.6483860616,om11_2,CJM,tun29,SB
2037,65,13216.9213424901,om11_2,CJM,tun29,SB
2038,65,12979.293071231,om11_2,CJM,tun29,SB
2039,65,12469.2463144088,om11_2,CJM,tun29,SB
2040,65,12406.3204878313,om11_2,CJM,tun29,SB
2041,65,12156.2441385527,om11_2,CJM,tun29,SB
2042,65,11241.8909872916,om11_2,CJM,tun29,SB
2043,65,10980.8654256004,om11_2,CJM,tun29,SB
2044,65,10388.8478909625,om11_2,CJM,tun29,SB
2045,65,9381.11763612218,om11_2,CJM,tun29,SB
2046,65,8332.32218385603,om11_2,CJM,tun29,SB
2047,65,6914.0552152364,om11_2,CJM,tun29,SB
2048,65,5637.65323664521,om11_2,CJM,tun29,SB
2049,65,4227.65566368066,om11_2,CJM,tun29,SB
2050,65,2864.55077317244,om11_2,CJM,tun29,SB
2025,110,9634.882166157,om11_2,CJM,tun29,SB
2026,110,10538.1851222368,om11_2,CJM,tun29,SB
2027,110,10703.6074028897,om11_2,CJM,tun29,SB
2028,110,11742.9334969502,om11_2,CJM,tun29,SB
2029,110,13607.0806664747,om11_2,CJM,tun29,SB
2030,110,15375.4526330073,om11_2,CJM,tun29,SB
2031,110,15950.8433376377,om11_2,CJM,tun29,SB
2032,110,15409.7894625415,om11_2,CJM,tun29,SB
2033,110,14862.184133202,om11_2,CJM,tun29,SB
2034,110,14359.7956209159,om11_2,CJM,tun29,SB
2035,110,12574.4904416921,om11_2,CJM,tun29,SB
2036,110,11156.0631363103,om11_2,CJM,tun29,SB
2037,110,10069.2521725391,om11_2,CJM,tun29,SB
2038,110,8337.42967057413,om11_2,CJM,tun29,SB
2039,110,6676.97525665271,om11_2,CJM,tun29,SB
2040,110,5373.64572478652,om11_2,CJM,tun29,SB
2041,110,4373.27835894508,om11_2,CJM,tun29,SB
2042,110,3401.06866587145,om11_2,CJM,tun29,SB
2043,110,3229.12755145584,om11_2,CJM,tun29,SB
2044,110,2989.70170226759,om11_2,CJM,tun29,SB
2045,110,2363.16166103867,om11_2,CJM,tun29,SB
2046,110,1819.4848256794,om11_2,CJM,tun29,SB
2047,110,1569.09851525745,om11_2,CJM,tun29,SB
2048,110,1316.70033752773,om11_2,CJM,tun29,SB
2049,110,1106.03053092632,om11_2,CJM,tun29,SB
2050,110,905.375627272648,om11_2,CJM,tun29,SB
2025,151,6742.27315938003,om11_2,CJM,tun29,SB
2026,151,7475.22511488805,om11_2,CJM,tun29,SB
2027,151,7955.95247786078,om11_2,CJM,tun29,SB
2028,151,8091.41786751064,om11_2,CJM,tun29,SB
2029,151,9805.78952831104,om11_2,CJM,tun29,SB
2030,151,12764.8267258957,om11_2,CJM,tun29,SB
2031,151,15857.1645653709,om11_2,CJM,tun29,SB
2032,151,17260.167864808,om11_2,CJM,tun29,SB
2033,151,17674.3533622106,om11_2,CJM,tun29,SB
2034,151,17511.1068087578,om11_2,CJM,tun29,SB
2035,151,15616.71336885,om11_2,CJM,tun29,SB
2036,151,14352.9702818913,om11_2,CJM,tun29,SB
2037,151,13915.1420899708,om11_2,CJM,tun29,SB
2038,151,14907.1063364899,om11_2,CJM,tun29,SB
2039,151,15855.4871275644,om11_2,CJM,tun29,SB
2040,151,15983.7658933481,om11_2,CJM,tun29,SB
2041,151,16859.4087159531,om11_2,CJM,tun29,SB
2042,151,17819.6032622678,om11_2,CJM,tun29,SB
2043,151,19687.5500830687,om11_2,CJM,tun29,SB
2044,151,23247.6024423588,om11_2,CJM,tun29,SB
2045,151,27097.5091724347,om11_2,CJM,tun29,SB
2046,151,29541.8305331858,om11_2,CJM,tun29,SB
2047,151,32022.7767241835,om11_2,CJM,tun29,SB
2048,151,34665.6519769982,om11_2,CJM,tun29,SB
2049,151,36101.182738922,om11_2,CJM,tun29,SB
2050,151,36004.793052805,om11_2,CJM,tun29,SB
2025,158,7236.77187172129,om11_2,CJM,tun29,SB
2026,158,6449.16916629891,om11_2,CJM,tun29,SB
2027,158,6164.35119880869,om11_2,CJM,tun29,SB
2028,158,6103.55970174532,om11_2,CJM,tun29,SB
2029,158,5689.48825399031,om11_2,CJM,tun29,SB
2030,158,5051.11774458958,om11_2,CJM,tun29,SB
2031,158,4746.71628964192,om11_2,CJM,tun29,SB
2032,158,4733.22953931239,om11_2,CJM,tun29,SB
2033,158,4458.0907899261,om11_2,CJM,tun29,SB
2034,158,3954.71564397454,om11_2,CJM,tun29,SB
2035,158,3086.54150485004,om11_2,CJM,tun29,SB
2036,158,2652.49251077137,om11_2,CJM,tun29,SB
2037,158,2795.45165990389,om11_2,CJM,tun29,SB
2038,158,2987.64341240162,om11_2,CJM,tun29,SB
2039,158,2951.84950984594,om11_2,CJM,tun29,SB
2040,158,2864.75274980844,om11_2,CJM,tun29,SB
2041,158,3153.29562860555,om11_2,CJM,tun29,SB
2042,158,3409.37473724545,om11_2,CJM,tun29,SB
2043,158,3480.62293094142,om11_2,CJM,tun29,SB
2044,158,3979.47902610986,om11_2,CJM,tun29,SB
2045,158,4864.94801412304,om11_2,CJM,tun29,SB
2046,158,5782.89975497601,om11_2,CJM,tun29,SB
2047,158,7300.31402474189,om11_2,CJM,tun29,SB
2048,158,8883.93830708686,om11_2,CJM,tun29,SB
2049,158,11395.8297379493,om11_2,CJM,tun29,SB
2050,158,13632.583760559,om11_2,CJM,tun29,SB
2025,165,7753.47260672735,om11_2,CJM,tun29,SB
2026,165,7982.51806530926,om11_2,CJM,tun29,SB
2027,165,8068.85004124695,om11_2,CJM,tun29,SB
2028,165,8219.00804022269,om11_2,CJM,tun29,SB
2029,165,7938.69135563506,om11_2,CJM,tun29,SB
2030,165,7460.1030706489,om11_2,CJM,tun29,SB
2031,165,6991.15093784433,om11_2,CJM,tun29,SB
2032,165,6610.04358565126,om11_2,CJM,tun29,SB
2033,165,6640.1994664013,om11_2,CJM,tun29,SB
2034,165,6677.05007470273,om11_2,CJM,tun29,SB
2035,165,5582.08620948885,om11_2,CJM,tun29,SB
2036,165,5222.67169396976,om11_2,CJM,tun29,SB
2037,165,7452.4867161215,om11_2,CJM,tun29,SB
2038,165,10137.3272077109,om11_2,CJM,tun29,SB
2039,165,10901.7672969839,om11_2,CJM,tun29,SB
2040,165,11141.5368570772,om11_2,CJM,tun29,SB
2041,165,11189.8331609824,om11_2,CJM,tun29,SB
2042,165,10823.8207016569,om11_2,CJM,tun29,SB
2043,165,10736.9796504561,om11_2,CJM,tun29,SB
2044,165,10008.27627773,om11_2,CJM,tun29,SB
2045,165,9152.02779448864,om11_2,CJM,tun29,SB
2046,165,8465.80838072631,om11_2,CJM,tun29,SB
2047,165,7396.17708080815,om11_2,CJM,tun29,SB
2048,165,6324.79170581996,om11_2,CJM,tun29,SB
