scenario,biol,code,green,below8
om11_2,CJM,tun29,0.4522,0.1006
om11_2,CJM,tun32,0.5294,0.0708
om11_2,CJM,tun43,0.428,0.0962
om11_2,CJM,tun44,0.5452,0.0502
om11_2,CJM,tun45,0.4462,0.1026
om11_2,CJM,tun46,0.5238,0.0658
om11_2,CJM,tun47,0.4436,0.0604
om11_2,CJM,tun48,0.5754,0.0274
om21,Southern,tun29,0.6128,0
om21,Southern,tun32,0.9128,0
om21,Southern,tun43,0.4366,0
om21,Southern,tun44,0.9044,0
om21,Southern,tun45,0.5586,0
om21,Southern,tun46,0.8968,0
om21,Southern,tun47,0.5008,0
om21,Southern,tun48,0.8996,0
om21,North,tun29,0,0.144
om21,North,tun32,0,0.1302
om21,North,tun43,0,0.1548
om21,North,tun44,0,0.1372
om21,North,tun45,0,0.1484
om21,North,tun46,0,0.1322
om21,North,tun47,0,0.1516
om21,North,tun48,0,0.1394
om11_1,CJM,tun29,0.4118,0.246
om11_1,CJM,tun32,0.257,0.2298
om11_1,CJM,tun43,0.4062,0.2612
om11_1,CJM,tun44,0.2532,0.2096
om11_1,CJM,tun45,0.4146,0.2564
om11_1,CJM,tun46,0.2602,0.2216
om11_1,CJM,tun47,0.4078,0.2392
om11_1,CJM,tun48,0.2472,0.2064
om11_3,CJM,tun29,0.4594,0.1258
om11_3,CJM,tun32,0.509,0.0954
om11_3,CJM,tun43,0.441,0.1316
om11_3,CJM,tun44,0.515,0.0768
om11_3,CJM,tun45,0.4614,0.1312
om11_3,CJM,tun46,0.5036,0.096
om11_3,CJM,tun47,0.4418,0.1056
om11_3,CJM,tun48,0.5308,0.064
om12,CJM,tun29,0.6946,0.0626
om12,CJM,tun32,0.7362,0.0668
om12,CJM,tun43,0.6882,0.0576
om12,CJM,tun44,0.7428,0.0622
om12,CJM,tun45,0.6854,0.0654
om12,CJM,tun46,0.721,0.0698
om12,CJM,tun47,0.7162,0.0372
om12,CJM,tun48,0.7878,0.0484
om13,CJM,tun29,0.9144,0.0104
om13,CJM,tun32,0.9484,0.0064
om13,CJM,tun43,0.9,0.0112
om13,CJM,tun44,0.9598,0.0022
om13,CJM,tun45,0.9078,0.0106
om13,CJM,tun46,0.951,0.0056
om13,CJM,tun47,0.9134,0.0084
om13,CJM,tun48,0.965,8e-04
om21_1,Southern,tun29,0.4592,0
om21_1,Southern,tun32,0.897,0
om21_1,Southern,tun43,0.2534,0
om21_1,Southern,tun44,0.8932,0
om21_1,Southern,tun45,0.391,0
om21_1,Southern,tun46,0.8842,0
om21_1,Southern,tun47,0.3186,0
om21_1,Southern,tun48,0.8846,0
om21_1,North,tun29,0,0
om21_1,North,tun32,0,0
om21_1,North,tun43,0,0
om21_1,North,tun44,0,0
om21_1,North,tun45,0,0
om21_1,North,tun46,0,0
om21_1,North,tun47,0,0
om21_1,North,tun48,0,0
om22,Southern,tun29,0.999,0
om22,Southern,tun32,1,0
om22,Southern,tun43,0.9908,0
om22,Southern,tun44,1,0
om22,Southern,tun45,0.998,0
om22,Southern,tun46,0.9998,0
om22,Southern,tun47,0.9964,0
om22,Southern,tun48,1,0
om22,North,tun29,0.1664,0.04
om22,North,tun32,0.1714,0.0304
om22,North,tun43,0.1628,0.0452
om22,North,tun44,0.1686,0.0318
om22,North,tun45,0.1652,0.0414
om22,North,tun46,0.1698,0.0314
om22,North,tun47,0.1636,0.043
om22,North,tun48,0.1688,0.0338
om23,Southern,tun29,0.9996,0
om23,Southern,tun32,1,0
om23,Southern,tun43,0.999,0
om23,Southern,tun44,1,0
om23,Southern,tun45,0.9996,0
om23,Southern,tun46,1,0
om23,Southern,tun47,0.9994,0
om23,Southern,tun48,1,0
om23,North,tun29,0.0106,0.9872
om23,North,tun32,0.0274,0.9654
om23,North,tun43,0.0088,0.989
om23,North,tun44,0.0292,0.965
om23,North,tun45,0.01,0.9878
om23,North,tun46,0.0274,0.9656
om23,North,tun47,0.0096,0.9884
om23,North,tun48,0.0266,0.9682
