mp,statistic,metric,value,display_value,direction,relative_badness,relative_preference,metric_min,metric_max,years,summary,code
HS+20 (MP29),SBMSY,SB / SB[MSY],1.51678317188188,1.52,higher is better,0,1,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means,tun29
HS-20 (MP43),SBMSY,SB / SB[MSY],1.47262518182246,1.47,higher is better,0.667245139208739,0.332754860791261,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means,tun43
HSsym (MP45),SBMSY,SB / SB[MSY],1.49020376631955,1.49,higher is better,0.401625598009665,0.598374401990335,1.45060361138065,1.51678317188188,2041-2050,Median across iteration-specific 2041-2050 means,tun45
HS+20 (MP29),FMSY,F / F[MSY],0.852995166476652,0.85,lower is better,0,1,0.852995166476652,0.902072836237866,2041-2050,Median across iteration-specific 2041-2050 means,tun29
HS-20 (MP43),FMSY,F / F[MSY],0.899896924605787,0.90,lower is better,0.955663917161001,0.0443360828389989,0.852995166476652,0.902072836237866,2041-2050,Median across iteration-specific 2041-2050 means,tun43
HSsym (MP45),FMSY,F / F[MSY],0.864687974210474,0.86,lower is better,0.238251078152514,0.761748921847486,0.852995166476652,0.902072836237866,2041-2050,Median across iteration-specific 2041-2050 means,tun45
HS+20 (MP29),C,Catch,1894.66571853511,1895,higher is better,0.80305145574121,0.19694854425879,1877.72825605893,1963.72768570653,2041-2050,Median across iteration-specific 2041-2050 means,tun29
HS-20 (MP43),C,Catch,1904.77982369591,1905,higher is better,0.685444801810601,0.314555198189399,1877.72825605893,1963.72768570653,2041-2050,Median across iteration-specific 2041-2050 means,tun43
HSsym (MP45),C,Catch,1902.54937963254,1903,higher is better,0.711380369901062,0.288619630098938,1877.72825605893,1963.72768570653,2041-2050,Median across iteration-specific 2041-2050 means,tun45
HS+20 (MP29),IACC,IACC,3.48211570840829,3.5,lower is better,0.0294616872974179,0.970538312702582,3.26995301199252,10.4712614188724,2041-2050,Median across iteration-specific 2041-2050 means,tun29
HS-20 (MP43),IACC,IACC,3.49955563884474,3.5,lower is better,0.0318834597658477,0.968116540234152,3.26995301199252,10.4712614188724,2041-2050,Median across iteration-specific 2041-2050 means,tun43
HSsym (MP45),IACC,IACC,3.26995301199252,3.3,lower is better,0,1,3.26995301199252,10.4712614188724,2041-2050,Median across iteration-specific 2041-2050 means,tun45
