tac_2026_kt,cmp,label,hcr,advice_year,data_through,recent_window,metric,trigger,min,lim,target,dlow,dupp,prior_tac_kt,unconstrained_tac_kt,lower_limit_kt,upper_limit_kt,tac_advice_kt,change_percent,binding_rule
1675,CMP29,HS+20,hockeystick.hcr,2027,2025,2023-2025,1.0898340398436,2.125,270,0.1,2000,0.85,1.2,1675,1115.63599453305,1423.75,2010,1423.75,-15,15% maximum decrease
1675,CMP29,HS+20,hockeystick.hcr,2028,2026,2024-2026,0.953321047630978,2.125,270,0.1,2000,0.85,1.2,1423.75,999.010080198317,1210.1875,1708.5,1210.1875,-15,15% maximum decrease
1092,CMP29,HS+20,hockeystick.hcr,2027,2025,2023-2025,1.0898340398436,2.125,270,0.1,2000,0.85,1.2,1092,1115.63599453305,928.2,1310.4,1115.63599453305,2.16446836383266,index-based rule
1092,CMP29,HS+20,hockeystick.hcr,2028,2026,2024-2026,0.953321047630978,2.125,270,0.1,2000,0.85,1.2,1115.63599453305,999.010080198317,948.290595353095,1338.76319343966,999.010080198317,-10.4537604475149,index-based rule
1675,CMP45,HSsym,hockeystick.hcr,2027,2025,2023-2025,1.0898340398436,2.0625,270,0.1,2000,0.85,1.15,1675,1142.56707716149,1423.75,1926.25,1423.75,-15,15% maximum decrease
1675,CMP45,HSsym,hockeystick.hcr,2028,2026,2024-2026,0.953321047630978,2.0625,270,0.1,2000,0.85,1.15,1423.75,1022.2269617333,1210.1875,1637.3125,1210.1875,-15,15% maximum decrease
1092,CMP45,HSsym,hockeystick.hcr,2027,2025,2023-2025,1.0898340398436,2.0625,270,0.1,2000,0.85,1.15,1092,1142.56707716149,928.2,1255.8,1142.56707716149,4.63068472174855,index-based rule
1092,CMP45,HSsym,hockeystick.hcr,2028,2026,2024-2026,0.953321047630978,2.0625,270,0.1,2000,0.85,1.15,1142.56707716149,1022.2269617333,971.18201558727,1313.95213873572,1022.2269617333,-10.532433310363,index-based rule
1675,CMP43,HS-20,hockeystick.hcr,2027,2025,2023-2025,1.0898340398436,1.9375,270,0.1,2000,0.8,1.15,1675,1201.9253817303,1340,1926.25,1340,-20,20% maximum decrease
1675,CMP43,HS-20,hockeystick.hcr,2028,2026,2024-2026,0.953321047630978,1.9375,270,0.1,2000,0.8,1.15,1340,1073.39886389202,1072,1541,1073.39886389202,-19.8956071722371,index-based rule
1092,CMP43,HS-20,hockeystick.hcr,2027,2025,2023-2025,1.0898340398436,1.9375,270,0.1,2000,0.8,1.15,1092,1201.9253817303,873.6,1255.8,1201.9253817303,10.0664268983794,index-based rule
1092,CMP43,HS-20,hockeystick.hcr,2028,2026,2024-2026,0.953321047630978,1.9375,270,0.1,2000,0.8,1.15,1201.9253817303,1073.39886389202,961.540305384242,1382.21418898985,1073.39886389202,-10.6933857785125,index-based rule
1675,CMP47,HS-30,hockeystick.hcr,2027,2025,2023-2025,1.0898340398436,2,270,0.1,2000,0.7,1.2,1675,1171.26994154181,1172.5,2010,1172.5,-30,30% maximum decrease
1675,CMP47,HS-30,hockeystick.hcr,2028,2026,2024-2026,0.953321047630978,2,270,0.1,2000,0.7,1.2,1172.5,1046.97126968505,820.75,1407,1046.97126968505,-10.7060750801664,index-based rule
