"input_index","year","index","observed","reference_mean","standardized"
"Chile_AcousN",2019,"Chile_AcousN",1487.07,1896.963,0.783921457614092
"Chile_CPUE",2019,"Chile_CPUE",104.2971,97.41978,1.07059469853042
"Peru_Artis_CPUE",2019,"Peru_Artis",0.4132993,0.50729404,0.814713494367093
"Peru_Ind_CPUE",2019,"Peru_Ind",0.4431689,0.4688349,0.945255781939442
"Offshore_CPUE",2019,"Offshore_CPUE",688,1025.4,0.670957675053638
"Chile_AcousN",2020,"Chile_AcousN",1728.268,1896.963,0.911071011928013
"Chile_CPUE",2020,"Chile_CPUE",97.2726,97.41978,0.99848921851394
"Peru_Artis_CPUE",2020,"Peru_Artis",0.4681688,0.50729404,0.922874631052239
"Peru_Ind_CPUE",2020,"Peru_Ind",0.4730189,0.4688349,1.00892425030645
"Offshore_CPUE",2020,"Offshore_CPUE",669,1025.4,0.652428320655354
"Chile_AcousN",2021,"Chile_AcousN",1870.357,1896.963,0.985974423328236
"Chile_CPUE",2021,"Chile_CPUE",93.9945,97.41978,0.964839994506249
"Peru_Artis_CPUE",2021,"Peru_Artis",0.4675591,0.50729404,0.921672763985163
"Peru_Ind_CPUE",2021,"Peru_Ind",0.4860361,0.4688349,1.0366892481767
"Offshore_CPUE",2021,"Offshore_CPUE",966,1025.4,0.942071386775892
"Chile_AcousN",2022,"Chile_AcousN",,1896.963,
"Chile_CPUE",2022,"Chile_CPUE",91.3185,97.41978,0.937371240214256
"Peru_Artis_CPUE",2022,"Peru_Artis",0.5708413,0.50729404,1.12526711332938
"Peru_Ind_CPUE",2022,"Peru_Ind",0.4933459,0.4688349,1.05228066425942
"Offshore_CPUE",2022,"Offshore_CPUE",1394,1025.4,1.3594694753267
"Chile_AcousN",2023,"Chile_AcousN",2502.157,1896.963,1.31903310712966
"Chile_CPUE",2023,"Chile_CPUE",100.2162,97.41978,1.02870484823513
"Peru_Artis_CPUE",2023,"Peru_Artis",0.6166017,0.50729404,1.21547199726612
"Peru_Ind_CPUE",2023,"Peru_Ind",0.4486047,0.4688349,0.956850055317981
"Offshore_CPUE",2023,"Offshore_CPUE",1410,1025.4,1.37507314218841
"Chile_AcousN",2024,"Chile_AcousN",2788.465,1896.963,1.46996277734463
"Chile_CPUE",2024,"Chile_CPUE",82.4208,97.41978,0.84603763219338
"Peru_Artis_CPUE",2024,"Peru_Artis",0.6721997,0.50729404,1.32506918472766
"Peru_Ind_CPUE",2024,"Peru_Ind",0.4225765,0.4688349,0.901333283848963
"Offshore_CPUE",2024,"Offshore_CPUE",490,1025.4,0.477862297639945
"Chile_AcousN",2025,"Chile_AcousN",3058.843,1896.963,1.61249481407914
"Chile_CPUE",2025,"Chile_CPUE",96.6705,97.41978,0.992308748798242
"Peru_Artis_CPUE",2025,"Peru_Artis",0.4946125,0.50729404,0.975001598678352
"Peru_Ind_CPUE",2025,"Peru_Ind",0.3974881,0.4688349,0.847821055983674
"Offshore_CPUE",2025,"Offshore_CPUE",1030,1025.4,1.00448605422274
"Chile_AcousN",2026,"Chile_AcousN",642.1313,1896.963,0.338504915488599
"Chile_CPUE",2026,"Chile_CPUE",104.4309,97.41978,1.07196813624502
"Peru_Artis_CPUE",2026,"Peru_Artis",0.5673619,0.50729404,1.1184083692369
"Peru_Ind_CPUE",2026,"Peru_Ind",0.2574228,0.4688349,0.549069192587838
"Offshore_CPUE",2026,"Offshore_CPUE",,1025.4,
