"","fishery1","fishery2","fishery3","fishery4"
"1970",101.69,10.31,4.71,1
"1971",143.45,14.99,9.19,1
"1972",64.46,22.55,18.78,5.5
"1973",83.2,38.39,42.78,1
"1974",164.76,28.75,129.21,1
"1975",207.33,53.88,37.9,1
"1976",257.7,84.57,54.15,1.04
"1977",226.23,114.57,504.99,2.27
"1978",398.41,188.27,386.79,51.29
"1979",344.05,253.46,333.81,370.29
"1980",288.81,273.45,414.3,339.8
"1981",474.82,586.09,445.64,438.12
"1982",789.91,704.77,143.72,733.2
"1983",301.93,563.34,110.69,894.3
"1984",727,699.3,200.67,1059.93
"1985",511.15,945.84,114.62,799.32
"1986",55.21,1129.11,51.03,837.5
"1987",313.31,1456.73,46.3,863.42
"1988",325.46,1812.79,244.23,863.22
"1989",338.6,2051.52,316.25,875.82
"1990",323.09,2148.79,370.82,872.06
"1991",346.25,2674.27,213.45,543.66
"1992",304.24,2907.82,111.68,37.93
"1993",379.47,2856.78,133.35,1
"1994",222.25,3819.19,233.35,1
"1995",230.18,4174.02,550.99,1
"1996",278.44,3604.89,495.52,1
"1997",104.2,2812.87,680.05,1
"1998",30.27,1582.64,412.85,1
"1999",55.65,1164.04,203.75,1.01
"2000",118.73,1115.57,303.7,2.32
"2001",248.1,1401.84,857.74,20.09
"2002",108.73,1410.27,154.82,76.26
"2003",143.28,1278.02,217.73,158.2
"2004",158.66,1292.94,187.37,295.44
"2005",165.63,1264.81,80.66,243.58
"2006",155.26,1224.69,277.57,362.63
"2007",172.701,1130.083,255.36,438.8306
"2008",167.258,728.85,169.537,406.9864
"2009",134.022,700.905,76.629,371.9176
"2010",169.012,295.796,22.172,239.593
"2011",30.825,216.47,326.394,60.89131
"2012",13.256,214.204,187.396,39.91786
"2013",16.361,214.999,80.586,41.177
"2014",18.219,254.295,74.532,63.652
"2015",34.886,250.327,22.447,86.672
"2016",24.657,295.16,15.088,54.163
"2017",35.002,311.863,8.867,49.113
"2018",11.551,415.149,57.163,42.46
"2019",11.875,432.447,135.784,51.439
"2020",44.155,517.665,140.116,4.739
"2021",61.359,567.267,123.636,55.304
"2022",72.795,655.157,159.608,73.868
"2023",68.052,740.203,222.287,95.334
"2024",105.3088,977.0402,217.242,30.479
"2025",174.045,1067.685,200.38,52.434
"2026",108.7796,797.7173,110,85
