"Hypothesis","Stock","Scenario_ID","Scenario","Year","SSB_kt","SSB_SE_kt","BMSY_kt","Probability_above_percent","Catch_kt"
"h1",1,6,"F = 0",2027,6877.69,1118.96,6869.029054,50.3087852155091,0
"h1",1,6,"F = 0",2028,7883.86,1386.79,6869.029054,76.7849838627265,0
"h1",1,6,"F = 0",2029,8987.74,1676.99,6869.029054,89.6777458553536,0
"h1",1,6,"F = 0",2030,10016.7,1959.96,6869.029054,94.5861654140665,0
"h1",1,6,"F = 0",2031,10879.6,2247.26,6869.029054,96.2840888838727,0
"h1",1,6,"F = 0",2032,11695.1,2558.06,6869.029054,97.0393846123408,0
"h1",1,6,"F = 0",2033,12444,2864.53,6869.029054,97.4185114959127,0
"h1",1,6,"F = 0",2034,13053.7,3149.74,6869.029054,97.520883067319,0
"h1",1,6,"F = 0",2035,13603.4,3423.29,6869.029054,97.5421180960118,0
"h1",1,6,"F = 0",2036,14110.5,3672.38,6869.029054,97.5688008731448,0
"h1",1,2,"0.75 × F2026",2027,6261,1082.39,6869.029054,28.7144292065364,759.91
"h1",1,2,"0.75 × F2026",2028,6502.93,1313.73,6869.029054,39.0248484318392,857.315
"h1",1,2,"0.75 × F2026",2029,6798.52,1554.66,6869.029054,48.1912828184959,897.619
"h1",1,2,"0.75 × F2026",2030,7024.4,1766.84,6869.029054,53.5036701404392,920.913
"h1",1,2,"0.75 × F2026",2031,7165.72,1962.48,6869.029054,56.0083783738396,944.919
"h1",1,2,"0.75 × F2026",2032,7253.09,2147.09,6869.029054,57.0982114000745,1015.28
"h1",1,2,"0.75 × F2026",2033,7265.41,2295.87,6869.029054,56.8536553341563,1082.99
"h1",1,2,"0.75 × F2026",2034,7267.94,2406.1,6869.029054,56.5839485136143,1091.21
"h1",1,2,"0.75 × F2026",2035,7346.18,2493.53,6869.029054,57.5876500980701,1029
"h1",1,2,"0.75 × F2026",2036,7390.75,2548.28,6869.029054,58.1110235426332,1064.89
"h1",1,1,"1 × F2026",2027,6094.25,1073.13,6869.029054,23.5153198867408,963.918
"h1",1,1,"1 × F2026",2028,6188.24,1296.39,6869.029054,29.9742182410046,1025.82
"h1",1,1,"1 × F2026",2029,6356.13,1524.39,6869.029054,36.8261314100009,1037.07
"h1",1,1,"1 × F2026",2030,6480.97,1718.65,6869.029054,41.0681230180865,1029.86
"h1",1,1,"1 × F2026",2031,6541.34,1891.64,6869.029054,43.1235268404739,1045.95
"h1",1,1,"1 × F2026",2032,6561.18,2046.55,6869.029054,44.0215281768422,1103.54
"h1",1,1,"1 × F2026",2033,6537.53,2163.73,6869.029054,43.9117432830977,1139.12
"h1",1,1,"1 × F2026",2034,6536.43,2247.94,6869.029054,44.1188247322972,1122.12
"h1",1,1,"1 × F2026",2035,6584.9,2313.91,6869.029054,45.1136004409223,1084.4
"h1",1,1,"1 × F2026",2036,6603.33,2354.76,6869.029054,45.5080733689826,1112.03
"h1",1,3,"1.25 × F2026",2027,5940.57,1064.65,6869.029054,19.1582603208383,1152.12
"h1",1,3,"1.25 × F2026",2028,5910.26,1280.28,6869.029054,22.6966423423481,1168.59
"h1",1,3,"1.25 × F2026",2029,5975.87,1495.72,6869.029054,27.5205882827553,1147.4
"h1",1,3,"1.25 × F2026",2030,6023.42,1673.51,6869.029054,30.6677333840601,1111.15
"h1",1,3,"1.25 × F2026",2031,6023.63,1825.78,6869.029054,32.1669833868666,1118.73
"h1",1,3,"1.25 × F2026",2032,5998.92,1955.02,6869.029054,32.8136745933776,1160.16
"h1",1,3,"1.25 × F2026",2033,5956.93,2047.68,6869.029054,32.8004350189995,1169.36
"h1",1,3,"1.25 × F2026",2034,5951.69,2113.81,6869.029054,33.2153579548728,1141.03
"h1",1,3,"1.25 × F2026",2035,5974.08,2164.64,6869.029054,33.9642087217622,1121.22
"h1",1,3,"1.25 × F2026",2036,5975.19,2196.26,6869.029054,34.2010476091558,1138.49
"h1",1,4,"FMSY scenario",2027,5863.36,969.088,6869.029054,14.9693715009923,1246.79
"h1",1,4,"FMSY scenario",2028,5774.3,1147.25,6869.029054,16.9986111407341,1236.35
"h1",1,4,"FMSY scenario",2029,5793.48,1343.03,6869.029054,21.1612805776169,1196.89
"h1",1,4,"FMSY scenario",2030,5806.98,1508.52,6869.029054,24.0705865226049,1146.15
"h1",1,4,"FMSY scenario",2031,5781.58,1651.97,6869.029054,25.5181010892473,1148.84
"h1",1,4,"FMSY scenario",2032,5739.59,1775.83,6869.029054,26.2386160413564,1181.31
"h1",1,4,"FMSY scenario",2033,5691.5,1869.29,6869.029054,26.4368931094566,1179.27
"h1",1,4,"FMSY scenario",2034,5682.98,1935.24,6869.029054,26.9981404241093,1148.45
"h1",1,4,"FMSY scenario",2035,5693.63,1977.55,6869.029054,27.6131884741536,1134.77
"h1",1,4,"FMSY scenario",2036,5687.98,2005.75,6869.029054,27.7987110703724,1146.82
"h1",1,5,"TAC scenario (supplied TAC)",2027,5657.43,1117.36,6869.029054,13.9106857250514,1491.6
"h1",1,5,"TAC scenario (supplied TAC)",2028,5368.19,1383.12,6869.029054,13.8936195523248,1466.64
"h1",1,5,"TAC scenario (supplied TAC)",2029,5152.85,1658.93,6869.029054,15.0448989504343,1469.13
"h1",1,5,"TAC scenario (supplied TAC)",2030,4874.81,1926.02,6869.029054,15.0238898051382,1466.03
"h1",1,5,"TAC scenario (supplied TAC)",2031,4593.6,2180.47,6869.029054,14.8346862127569,1437.24
"h1",1,5,"TAC scenario (supplied TAC)",2032,4339.66,2416.19,6869.029054,14.7586239178404,1423.3
"h1",1,5,"TAC scenario (supplied TAC)",2033,4096.78,2624.74,6869.029054,14.5438541466186,1406.34
"h1",1,5,"TAC scenario (supplied TAC)",2034,3865.56,2828.47,6869.029054,14.4147223371585,1390.84
"h1",1,5,"TAC scenario (supplied TAC)",2035,3635.43,3019.25,6869.029054,14.2086032504453,1373.47
"h1",1,5,"TAC scenario (supplied TAC)",2036,3409.22,3202.21,6869.029054,13.9972222781208,1354.3
"h2",1,6,"F = 0",2027,7536.56,1292.25,6524.326427,78.3277732220931,0
"h2",1,6,"F = 0",2028,8438.76,1493.96,6524.326427,89.998200166748,0
"h2",1,6,"F = 0",2029,9404.52,1725.84,6524.326427,95.2427908442529,0
"h2",1,6,"F = 0",2030,10268.6,1955.29,6524.326427,97.2250265851903,0
"h2",1,6,"F = 0",2031,10943.5,2191.07,6524.326427,97.8147131905029,0
"h2",1,6,"F = 0",2032,11566.2,2455.64,6524.326427,97.9972490381356,0
"h2",1,6,"F = 0",2033,12122.9,2721.06,6524.326427,98.0180792282369,0
"h2",1,6,"F = 0",2034,12546,2969.26,6524.326427,97.8720121640181,0
"h2",1,6,"F = 0",2035,12922.9,3209.51,6524.326427,97.6903716333572,0
"h2",1,6,"F = 0",2036,13275.2,3428.45,6524.326427,97.5527733426654,0
"h2",1,2,"0.75 × F2026",2027,6902.45,1245.93,6524.326427,61.9240628061458,735.238
"h2",1,2,"0.75 × F2026",2028,7024.32,1406.3,6524.326427,63.8906837724625,817.505
"h2",1,2,"0.75 × F2026",2029,7176.8,1595.5,6524.326427,65.8710407781388,869.28
